Sample Name	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[collection environment]	Term Source REF	Term Accession Number	Parameter Value[storage environment]	Term Source REF	Term Accession Number	Sample Name	Protocol REF	Parameter Value[quantity of tissue]	Unit	Term Source REF	Term Accession Number	Parameter Value[sample volume]	Unit	Term Source REF	Term Accession Number	Extract Name	Characteristics[RNA concentration]	Unit	Term Source REF	Term Accession Number	Characteristics[RNA integrity number]	Term Source REF	Term Accession Number	Characteristics[260nm/280nm ratio]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[labeling kit lot number]	Term Source REF	Term Accession Number	Parameter Value[amount of cRNA]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Characteristics[labeled RNA quality control]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[amount of labeled probe]	Unit	Term Source REF	Term Accession Number	Parameter Value[chip lot number]	Term Source REF	Term Accession Number	Parameter Value[chip expiration date]	Term Source REF	Term Accession Number	Parameter Value[staining lot number]	Term Source REF	Term Accession Number	Parameter Value[staining duration]	Unit	Term Source REF	Term Accession Number	Hybridization Assay Name	Array Design REF	Comment[array expression accession number]	Protocol REF	Parameter Value[scanner model]	Term Source REF	Term Accession Number	Parameter Value[scanner version]	Term Source REF	Term Accession Number	Parameter Value[scanner speed]	Term Source REF	Term Accession Number	Parameter Value[number of pixel per row]	Term Source REF	Term Accession Number	Date	Scan Name	Array Data File	Protocol REF	Normalization Name	Derived Array Data File	Protocol REF	Data Transformation Name	Derived Array Data File	Protocol REF	Data Transformation Name	Derived Array Data Matrix File	Factor Value[compound]	Term Source REF	Term Accession Number	Factor Value[dose]	Term Source REF	Term Accession Number	Factor Value[duration of exposure]	Unit	Term Source REF	Term Accession Number
FP001RO_A1_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A1_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1534	4.02	ug	UO	23	6.4			2.06			labeling	567402			3	ug	UO	23	1534-biotin-labeled	biotin	CHEBI	15956	1.86			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22545bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6316			2006-07-04T00.00.00.0 UTC	d22545bm_1	transcriptome/d22545bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			2	day	UO	33
FP001RO_A3_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A3_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1535	49.544	ug	UO	23	6.7			2.15			labeling	567402			3	ug	UO	23	1535-biotin-labeled	biotin	CHEBI	15956	1.96			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22546bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6304			2006-07-04T00.00.00.0 UTC	d22546bm_1	transcriptome/d22546bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			2	day	UO	33
FP001RO_A5_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A5_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1536	21.766	ug	UO	23	6.7			2.13			labeling	567402			3	ug	UO	23	1536-biotin-labeled	biotin	CHEBI	15956	1.9			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22547bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6270			2006-07-04T00.00.00.0 UTC	d22547bm_1	transcriptome/d22547bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			2	day	UO	33
FP001RO_A7_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A7_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1537	25.32	ug	UO	23	5			2.06			labeling	567402			3	ug	UO	23	1537-biotin-labeled	biotin	CHEBI	15956	1.94			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22548bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6354			2006-07-04T00.00.00.0 UTC	d22548bm_1	transcriptome/d22548bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			2	day	UO	33
FP001RO_A9_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A9_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1538	34.0616	ug	UO	23	7.2			2.14			labeling	567402			3	ug	UO	23	1538-biotin-labeled	biotin	CHEBI	15956	1.95			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22549bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6305			2006-07-04T00.00.00.0 UTC	d22549bm_1	transcriptome/d22549bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			2	day	UO	33
FP001RO_A11_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A11_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1539	20.27	ug	UO	23	6.8			2.05			labeling	567402			3	ug	UO	23	1539-biotin-labeled	biotin	CHEBI	15956	1.93			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22550bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6314			2006-07-04T00.00.00.0 UTC	d22550bm_1	transcriptome/d22550bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			2	day	UO	33
FP001RO_A13_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A13_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1540	40.5064	ug	UO	23	7.3			2.14			labeling	567402			3	ug	UO	23	1540-biotin-labeled	biotin	CHEBI	15956	1.9			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22551bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6307			2006-07-04T00.00.00.0 UTC	d22551bm_1	transcriptome/d22551bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			2	day	UO	33
FP001RO_A15_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A15_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1541	27.1228	ug	UO	23	2.8			2.13			labeling	567402			3	ug	UO	23	1541-biotin-labeled	biotin	CHEBI	15956	2.02			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22552bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6295			2006-07-04T00.00.00.0 UTC	d22552bm_1	transcriptome/d22552bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			2	day	UO	33
FP001RO_A17_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A17_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1542	19.716	ug	UO	23	7.6			2.14			labeling	567402			3	ug	UO	23	1542-biotin-labeled	biotin	CHEBI	15956	1.85			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22553bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6273			2006-07-04T00.00.00.0 UTC	d22553bm_1	transcriptome/d22553bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			4	day	UO	33
FP001RO_A19_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A19_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1543	26.34	ug	UO	23	6.3			2.14			labeling	567402			3	ug	UO	23	1543-biotin-labeled	biotin	CHEBI	15956	2.01			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22554bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6275			2006-07-04T00.00.00.0 UTC	d22554bm_1	transcriptome/d22554bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			4	day	UO	33
